sampleID	RpsJ	PsbJ	ComplexI_49KD	RpsG	DUF3172	AtpD	AtpA	PetB	LepA	CbbP
S0571	591.1949685534564	656.4102564102558	838.8185654008317	788.4615384615457	1136.8760064412163	661.8655692729815	975.5775577558039	1010.7033639143799	789.0365448504841	652.1739130434723
S0572	28.301886792452823	35.8974358974359	32.911392405063275	29.91452991452991	49.9194847020934	37.72290809327848	44.884488448844806	42.81345565749238	55.37098560354379	42.3634336677815
S0573	566.0377358490541	379.4871794871799	566.2447257383907	525.641025641026	636.0708534621511	486.282578875168	627.0627062706413	727.8287461773709	395.34883720929673	424.7491638795994
S0574	682.3899371069148	435.8974358974364	751.054852320665	709.4017094017146	663.4460547503954	570.6447187928663	711.5511551155292	989.2966360856333	527.131782945728	561.8729096989952
S0575	3.144654088050314	15.384615384615383	3.375527426160337	6.410256410256411	3.2206119162640903	2.7434842249657065	3.3003300330033003	1.529051987767584	8.859357696567	11.148272017837238
S0576	220.12578616352212	102.56410256410251	232.06751054852404	128.2051282051282	140.09661835748793	113.8545953360766	154.4554455445541	220.18348623853254	118.49390919158388	108.13823857302131
S0577	226.41509433962275	266.66666666666686	314.76793248945125	256.4102564102564	276.9726247987114	205.07544581618765	287.12871287128775	362.3853211009162	207.64119601328758	186.1761426978821
S0578	25.15723270440251	71.79487179487177	58.22784810126587	51.28205128205128	61.191626409017715	61.728395061728335	59.40594059405929	74.92354740061172	48.172757475083074	62.43032329988856
S0579	1037.7358490565978	907.6923076923048	1179.7468354430182	1081.196581196596	1191.6264090177087	870.3703703703875	1283.1683168316792	1464.8318042813619	921.3732004429507	954.2920847268466
S0580	1415.094339622646	1261.5384615384555	1656.540084388155	1525.6410256410522	1766.5056360708793	1369.6844993141756	1883.1683168316001	2136.085626911345	1272.9789590254968	1187.29096989965
S0581	9.433962264150942	30.769230769230766	20.253164556962023	14.957264957264956	28.985507246376812	24.69135802469137	31.023102310230982	27.522935779816514	28.792912513842715	27.87068004459308
S0582	314.4654088050311	317.94871794871824	390.7172995780571	365.38461538461536	479.8711755233455	326.4746227709194	452.1452145214594	555.0458715596303	363.23366555924207	335.56298773690133
